Topic Number,Score,Documents
0,0.00546448087431694,24099
1,0.00546448087431694,180864
2,0.01092896174863388,77733    127405
3,0.01092896174863388,96503    79590
4,0.0273224043715847,7297    32165    167238    176283    59979
5,0.00546448087431694,110714
6,0.01639344262295082,181486    74943    166759
7,0.00546448087431694,175688
8,0.04918032786885246,142220    941    6623    151739    32206    40080    41642    32817    125067
9,0.00546448087431694,37487
10,0.00546448087431694,6826
11,0.01092896174863388,37487    18013
12,0.03278688524590164,52010    20818    66914    78392    185720    182403
13,0.02185792349726776,26080    82770    175688    16278
14,0.00546448087431694,45572
15,0.01639344262295082,154800    114479    28325
16,0.12021857923497267,26080    14763    82770    83030    51733    55629    56051    142694    64684    174034    75924    77733    79442    32541    102824    175688    39562    41825    13992    79590    172129    30144
17,0.13114754098360656,16905    51974    88654    92108    95252    67434    75747    151739    30207    32541    176926    123937    108762    45053    45112    79590    81236    100285    37170    114479    130788    157    166759    28857
18,0.0273224043715847,88730    41642    125723    131528    114479
19,0.01092896174863388,140172    56365
20,0.00546448087431694,82332
21,0.24043715846994534,181486    123232    83030    8632    20818    21516    56051    140172    92108    64684    6623    104210    70181    16080    161161    143184    186220    32165    176926    151449    17572    107084    39527    39562    45112    103746    79590    81236    33216    33321    36931    131857    157    158413    16278    120109    56147    145581    58184    60629    61360    64017    28325    28857
22,0.00546448087431694,143184
23,0.01092896174863388,6623    56109
24,0.04371584699453552,19809    16080    30207    17572    176283    45053    14564    58184
25,0.01639344262295082,51974    32165    26463
26,0.060109289617486336,55629    89364    173075    184921    166759    77733    48279    185625    40421    45053    81236
27,0.02185792349726776,65259    32206    130788    110714
28,0.01092896174863388,158413    56109
29,0.00546448087431694,37170
30,0.00546448087431694,176283
31,0.01639344262295082,7297    32541    13992
32,0.06557377049180328,56051    66914    174034    150422    115208    158871    154800    56109    56365    60629    60814    30144
33,0.01639344262295082,185720    13992    56365
34,0.04371584699453552,112541    16905    169315    89644    67434    118678    100069    56365
35,0.01639344262295082,83350    93370    45112
36,0.03278688524590164,55629    66914    70181    151739    36894    172129
37,0.01639344262295082,181486    15100    110714
38,0.03278688524590164,14260    40421    130640    56147    64017    28325
39,0.00546448087431694,181008
40,0.00546448087431694,22043
41,0.02185792349726776,78987    48279    39527    123937
42,0.00546448087431694,53477
43,0.00546448087431694,107084
44,0.01092896174863388,85114    167934
45,0.04371584699453552,49813    187033    141657    37447    182403    167238    45053    125067
46,0.00546448087431694,145581
47,0.00546448087431694,48974
48,0.01639344262295082,8764    32206    114479
49,0.01092896174863388,83350    27586
50,0.0273224043715847,19809    8764    941    33216    14430
51,0.03825136612021858,26449    150422    26463    33321    169784    28857    122392
52,0.01092896174863388,100069    40080
53,0.07103825136612021,112541    93370    96195    103746    77733    45572    41825    130640    79590    33321    130788    171465    172833
54,0.01092896174863388,104210    120109
55,0.01639344262295082,30207    176288    39527
56,0.04371584699453552,142220    183438    158871    107210    14564    131857    157    58184
57,0.0273224043715847,8764    172833    41642    32817    60814
58,0.00546448087431694,183438
59,0.01639344262295082,159684    34607    171465
60,0.12568306010928962,123232    16905    51733    141102    96195    64684    173075    184921    70254    75747    48279    186220    158871    104210    151739    154800    35258    36894    100285    17282    56147    59979    28848
61,0.00546448087431694,125067
62,0.07650273224043716,122392    83030    141657    89644    65259    78392    37170    159684    32541    13992    175688    134877    64017    30144
63,0.02185792349726776,75924    161161    56147    61360
64,0.00546448087431694,129772
65,0.00546448087431694,53404
66,0.01092896174863388,8764    151449
67,0.00546448087431694,64214
68,0.01639344262295082,148459    45572    123937
69,0.01639344262295082,176926    17572    123232
70,0.01092896174863388,27555    100069
71,0.01092896174863388,54370    180864
72,0.00546448087431694,111419
73,0.02185792349726776,98618    100285    40421    81236
74,0.01092896174863388,98618    32541
75,0.00546448087431694,146214
76,0.00546448087431694,18013
77,0.01092896174863388,30207    123232
78,0.01639344262295082,8632    14763    35702
79,0.01092896174863388,8632    98618
80,0.01639344262295082,26340    48974    115208
81,0.01092896174863388,79442    130640
82,0.03278688524590164,51274    75747    158413    107210    118678    33321
83,0.0273224043715847,88654    102824    134877    131528    64017
84,0.01092896174863388,51274    141102
85,0.01639344262295082,7704    15100    39562
86,0.01639344262295082,148459    16278    169784
87,0.5573770491803278,181486    112541    26080    26340    26449    122392    82770    85114    16905    169315    129772    49813    51274    51974    52010    187033    19809    53477    55629    145581    14260    142694    8764    88654    88730    89364    89644    92108    93370    941    95252    96195    96503    14763    64214    65259    6623    67434    173603    174034    183438    143184    6826    74943    75747    75924    7704    77733    78392    37447    16080    45572    185625    185720    186602    123937    103411    148459    150422    182403    158871    30207    32165    176288    15100    167238    123232    107210    108762    39527    39562    40080    40421    41825    134877    151739    26463    27555    115208    118678    100069    32541    33216    34607    35258    35702    161161    14564    125067    125723    130640    131528    131857    157    16278    169784    171465    17282    120109    14430    64017    114479
88,0.01639344262295082,26340    21516    169315
89,0.01639344262295082,142694    35258    161161
90,0.00546448087431694,180129
91,0.13114754098360656,83350    167934    20818    53477    141657    93370    96195    96503    53404    64684    166759    74943    78987    142694    186220    176288    15100    40080    41642    32541    161161    130788    118678    60629
92,0.00546448087431694,103411
93,0.0273224043715847,186602    30207    45112    27586    28848
94,0.00546448087431694,127405
95,0.03278688524590164,26080    51974    14260    70254    151449    131857
96,0.01639344262295082,184921    32206    36931
97,0.02185792349726776,82770    64684    77733    56147
98,0.00546448087431694,30144
99,0.060109289617486336,49813    96503    65259    173603    79442    185625    30207    36894    154800    169315    27586
